Svc,BatteryNode,P_BESS,E_BESS,f1,Annual_Revenue,f2,f3,f4,s_m_PS,s_m_PS_BESS,f5,f5_PS,threshold_peak_demand,P_CB_max,p_1,p_2,p_3,p_4,p_5,Time
PS,bus1,250,1000,455850.0,-2253.75,0.1800907295369674,-0.0123505243857006,0.0002820982670697883,8660,4393,50.72748267898384,0.3769936044867864,170,287.5338503656003,3.054794520547945,87.83333333333333,9.11187214611872,0,0,28.103560058275857
PS,bus1001,250,1000,455850.0,-2253.75,0.1800907271604915,-0.0123506650490363,0.027779438259354174,8660,7572,87.4364896073903,0.1934485698447541,170,287.5338801696933,3.054794520547945,87.83333333333333,9.11187214611872,0,0,28.246084988117214
PS,bus1002,250,1000,455850.0,-2253.75,0.1800871864587236,-0.0160056807789917,0.05534460948322532,8660,7568,87.39030023094688,0.1936795167269712,170,287.53405012200176,3.054794520547945,87.83333333333333,9.11187214611872,0,0,29.38827777703603
PS,bus1003,250,1000,455850.0,-2253.75,0.1800869312845516,-0.0160945052688696,0.29691220469817087,8660,7574,87.45958429561202,0.1933330964036455,170,287.53392650200243,3.054794520547945,87.83333333333333,9.11187214611872,0,0,28.24147553841273
PS,bus1004,250,1000,455850.0,-2253.75,0.1800867945819921,-0.0163734592285706,0.08559647958873519,8660,7575,87.47113163972287,0.1932753596830913,170,287.5340501665234,3.054794520547945,87.83333333333333,9.11187214611872,0,0,27.962981021404268
PS,bus1005,250,1000,455850.0,-2253.75,0.180086591172682,-0.0165580628510588,0.11845692322813216,8660,7582,87.55196304849885,0.1928712026392114,170,287.53382039851715,3.054794520547945,87.83333333333333,9.11187214611872,0,0,27.929008634885157
PS,bus1006,250,1000,455850.0,-2253.75,0.1800862582645463,-0.0168281799718124,0.1599458309691781,8660,7578,87.50577367205543,0.1931021495214284,170,287.533805767666,3.054794520547945,87.83333333333333,9.11187214611872,0,0,25.94822814464569
PS,bus1008,250,1000,455850.0,-2253.75,0.1800861411854272,-0.016871507963796,0.2941916903529764,8660,7564,87.34411085450347,0.1939104636091883,170,287.5339764179336,3.054794520547945,87.83333333333333,9.11187214611872,0,0,26.334129468599954
PS,bus1009,250,1000,455850.0,-2253.75,0.1800859455158982,-0.0168936931987749,0.49146041102667287,8660,7574,87.45958429561202,0.1933330964036455,170,287.53405016652755,3.054794520547945,87.83333333333333,9.11187214611872,0,0,26.04957341750463
PS,bus1011,250,1000,455850.0,-2253.75,0.1800859484544114,-0.0168885322390609,0.8116470418252184,8660,7570,87.4133949191686,0.1935640432858626,170,287.53395885689923,3.054794520547945,87.83333333333333,9.11187214611872,0,0,25.937889138857525
PS,bus1012,250,1000,455850.0,-2253.75,0.1800859294728431,-0.0168924657670017,1.1540804051495117,8660,7577,87.49422632794457,0.1931598862419828,170,287.53398861645945,3.054794520547945,87.83333333333333,9.11187214611872,0,0,25.988605956236523
PS,bus1013,250,1000,455850.0,-2253.75,0.1800859432270329,-0.0168789704577178,1.5907130161193344,8660,7575,87.47113163972287,0.1932753596830913,170,287.53381796619146,3.054794520547945,87.83333333333333,9.11187214611872,0,0,25.97244401772817
PS,bus1,500,1000,523000.0,-2585.0000000000005,0.1800908274814564,-0.0122802814442905,0.0002822593765517732,8660,4421,51.05080831408776,0.3946198694795383,170,287.53388251297105,3.054794520547945,87.83333333333333,9.11187214611872,0,0,25.958849918842315
PS,bus1001,500,1000,523000.0,-2585.0000000000005,0.1800908242064837,-0.0122804183590126,0.027784807828878863,8660,7563,87.33256351039262,0.213211093498014,170,287.53405012199045,3.054794520547945,87.83333333333333,9.11187214611872,0,0,26.18963118394216
PS,bus1002,500,1000,523000.0,-2585.0000000000005,0.1800872878186182,-0.0159335430416362,0.0553549336605558,8660,7573,87.44803695150115,0.2126337262924713,170,287.5338205169855,3.054794520547945,87.83333333333333,9.11187214611872,0,0,26.02625786860784
PS,bus1003,500,1000,523000.0,-2585.0000000000005,0.1800869663947694,-0.0160223071028339,0.29615068043940285,8660,7572,87.4364896073903,0.2126914630130255,170,287.53395626156635,3.054794520547945,87.83333333333333,9.11187214611872,0,0,26.166124947865804
