Svc,BatteryNode,P_BESS,E_BESS,Total_Investment,Annual_Revenue,f1,f2,f3,f4,s_m_PS,s_m_PS_BESS,f5,f5_PS,threshold_peak_demand,P_CB_max,p_1,p_2,p_3,p_4,p_5,Time
STK,bus1,250,1000,455850.0,35310.04662536151,15.08493861533659,1.5118618110864754,-0.0842125177546428,-0.003946783246549556,8656,5712,65.98890942698706,0.3006864707467703,170,287.53405016654267,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,19.5895933508873
STK,bus1001,250,1000,455850.0,35310.04644978049,15.084938705225449,1.5118618280897955,-0.0842122930680029,0.09450638950428861,8656,7880,91.03512014787432,0.1754554171423341,170,287.5339588569067,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,20.786441330115
STK,bus1002,250,1000,455850.0,35310.1024985921,15.084910011032072,1.5118564505367489,-0.1121852678111215,0.1930847116402557,8656,7884,91.08133086876155,0.1752243635378978,170,287.53394163073506,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,19.814321879545847
STK,bus1003,250,1000,455850.0,35310.10750984223,15.08490744552662,1.5118560330461046,-0.1122483444817301,0.19298535431045963,8656,7877,91.00046210720888,0.1756287073456612,170,287.5338203540005,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,21.120394949118296
STK,bus1004,250,1000,455850.0,35310.107997937805,15.084907195646528,1.5118558866848997,-0.114100560668507,0.21463377617001234,8656,7894,91.19685767097968,0.1746467295268073,170,287.53385036562645,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,20.792310496171314
STK,bus1005,250,1000,455850.0,35310.11110498218,15.084905604998086,1.5118555869873591,-0.1149434446542875,0.2170180298428865,8656,7892,91.17375231053605,0.1747622563290254,170,287.5338527534253,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,20.882342684268952
STK,bus1006,250,1000,455850.0,35310.114973022166,15.084903624759042,1.5118549849460483,-0.1157749216971601,0.1939298358561133,8656,7877,91.00046210720888,0.1756287073456612,170,287.53371190724994,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,20.477330561478933
STK,bus1008,250,1000,455850.0,35310.11573554379,15.084903234386942,1.5118548534504035,-0.1155583365382499,0.14197857209830547,8656,7884,91.08133086876155,0.1752243635378978,170,287.53407997064267,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,20.76425187587738
STK,bus1009,250,1000,455850.0,35310.12025264067,15.08490092186455,1.5118545181684515,-0.1146567499351114,0.047531728662535355,8656,7893,91.18530499075786,0.1747044929279163,170,287.53405012202006,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,20.64947279691696
STK,bus1011,250,1000,455850.0,35310.11894135662,15.08490159317481,1.5118545660180924,-0.1145253243828033,-0.24385521782716058,8656,7885,91.09288354898337,0.1751666001367888,170,287.5339739856315,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,21.12392811775208
STK,bus1012,250,1000,455850.0,35310.11918587033,15.084901467996314,1.5118545187364458,-0.1144519432295262,-1.0633204476637825,8656,7888,91.1275415896488,0.1749933099334616,170,287.5339465693388,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,20.984789514541625
STK,bus1013,250,1000,455850.0,35310.120348556215,15.08490087276071,1.5118544577840545,-0.1139368686990853,-2.427016145642424,8656,7891,91.16219963031423,0.1748200197301344,170,287.5338966979224,14.618721461187215,2.615296803652968,7.560502283105023,74.96575342465754,0.2397260273972603,21.041188339392345
STK,bus1,500,1000,523000.0,37662.30521934948,16.441120097821482,1.948708385676061,-0.0766437934596289,-0.11584349232618167,8660,5293,61.12009237875289,0.3442734491562126,170,287.5338678820208,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.61285283168157
STK,bus1001,500,1000,523000.0,37662.30512757019,16.44112014615359,1.94870839077566,-0.0766432328556729,-0.02817492738375607,8660,7307,84.37644341801386,0.2279916939599077,170,287.5337442174942,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.87211920817693
STK,bus1002,500,1000,523000.0,37662.34962150326,16.441096715129554,1.9487032076849675,-0.1012480336741848,0.05964417134391983,8660,7307,84.37644341801386,0.2279916939599077,170,287.53385032097754,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.449556628863014
STK,bus1003,500,1000,523000.0,37662.35392939183,16.44109444654813,1.9487028259286452,-0.1011381730379711,0.059542285933477435,8660,7300,84.29561200923787,0.2283958510037877,170,287.53392650189346,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.86092228492101
STK,bus1004,500,1000,523000.0,37662.35494738574,16.441093910461436,1.9487026646078447,-0.1013158398154926,0.07369478385165516,8660,7309,84.39953810623557,0.2278762205187992,170,287.53368205850245,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.62701211770376
STK,bus1005,500,1000,523000.0,37662.35749346633,16.441092569667763,1.948702342646471,-0.1009162129668012,0.06842660688336663,8660,7302,84.31870669745959,0.2282803775626791,170,287.5337442174942,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.3475135922432
STK,bus1006,500,1000,523000.0,37662.36028830146,16.441091097877454,1.9487018268423288,-0.0980699711129467,0.027920690432237192,8660,7302,84.31870669745959,0.2282803775626791,170,287.5339739855105,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.59766788482666
STK,bus1008,500,1000,523000.0,37662.36186361565,16.441090268300112,1.948701667895265,-0.0962889986462332,-0.022958867964456273,8660,7309,84.39953810623557,0.2278762205187992,170,287.53385036550225,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.451590633392332
STK,bus1009,500,1000,523000.0,37662.36349784293,16.441089407698577,1.9487013268717104,-0.0915156510243936,-0.11845515643992625,8660,7311,84.42263279445727,0.2277607470776907,170,287.5340799259906,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.69460792938868
STK,bus1011,500,1000,523000.0,37662.36348371224,16.44108941513995,1.9487013385145109,-0.0909104262491926,-0.40423814328060276,8660,7310,84.41108545034642,0.2278184837982449,170,287.5340799259906,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.50906983613968
STK,bus1012,500,1000,523000.0,37662.36358835888,16.441089360031917,1.9487013374497648,-0.0904319543391415,-1.215121015523498,8660,7316,84.48036951501155,0.2274720634749193,170,287.5340501664249,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.48265245358149
STK,bus1013,500,1000,523000.0,37662.36376395582,16.4410892675607,1.9487012683320215,-0.0880989111106501,-2.5731012882072455,8660,7316,84.48036951501155,0.2274720634749193,170,287.5338503209758,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.593740646044413
STK,bus1,1000,1000,561900.0,37014.80380051581,18.27992501480225,1.948708442445609,-0.0763986092128606,-0.11584379490839818,8660,5276,60.92378752886836,0.3564023828508439,170,287.5337442174942,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.85984476407369
STK,bus1001,1000,1000,561900.0,37014.80395682959,18.27992491954263,1.948708470431331,-0.0763980252308147,-0.02885571191536989,8660,7302,84.31870669745959,0.2394277870078877,170,287.53385036550225,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.503184433778127
STK,bus1002,1000,1000,561900.0,37014.849275166256,18.27989730200274,1.9487033231918625,-0.1009913080516097,0.05827902870103015,8660,7302,84.31870669745959,0.2394277870078877,170,287.5340501664249,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.56824952761332
STK,bus1003,1000,1000,561900.0,37014.85313964788,18.279894946944253,1.9487028538930269,-0.100881986357928,0.05817699937176844,8660,7297,84.26096997690532,0.2397164706106591,170,287.5340501664249,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.79011431137721
STK,bus1004,1000,1000,561900.0,37014.853124017,18.27989495646989,1.9487027092392728,-0.1010627848647593,0.07189505352194901,8660,7303,84.33025404157044,0.2393700502873335,170,287.5340501664225,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.694860891501108
STK,bus1005,1000,1000,561900.0,37014.85729388671,18.279892415305017,1.9487024135330595,-0.1006668178339226,0.06613675995026613,8660,7310,84.41108545034642,0.2389658932434535,170,287.5340501664249,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.63519203265508
STK,bus1006,1000,1000,561900.0,37014.85960061897,18.27989100955703,1.9487019210468497,-0.0978356331235623,0.02510833417369567,8660,7302,84.31870669745959,0.2394277870078877,170,287.53405016642523,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.839086441198983
STK,bus1008,1000,1000,561900.0,37014.86113519682,18.27989007436852,1.9487016871227796,-0.0960626108644101,-0.026111884342018575,8660,7306,84.36489607390301,0.2391968401256706,170,287.53374421749294,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.621066578229268
STK,bus1009,1000,1000,561900.0,37014.86293708265,18.2798889762797,1.9487014198610089,-0.0913102037217908,-0.12201512074450911,8660,7307,84.37644341801386,0.2391391034051163,170,287.53385036550225,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.654632580280303
STK,bus1011,1000,1000,561900.0,37014.86361369874,18.279888563942528,1.9487013905433053,-0.0907066682748361,-0.4084200563839326,8660,7299,84.28406466512702,0.2396009971695505,170,287.5337442174942,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.44345947106679
STK,bus1012,1000,1000,561900.0,37014.86342203218,18.27988868074621,1.948701379375996,-0.0902296321299759,-1.2206355721104867,8660,7313,84.44572748267898,0.2387926830817908,170,287.5338678820208,11.38013698630137,5.708904109589041,6.878995433789954,68.08447488584474,7.947488584474886,20.67556851307551
