Svc,BatteryNode,P_BESS,E_BESS,Total_Investment,Annual_Revenue,f1,f2,f3,f4,s_m_PS,s_m_PS_BESS,pct_m_PS,f5_PS,threshold_peak_demand,P_CB_max,p_1,p_2,p_3,p_4,p_5,Time,Total_Investment_n,pct_m_PS_n,f5_PS_n
FR,bus1,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.0360537213271193,6.537155215049165e-05,8656,7434,85.88262476894639,0.2012178940369737,170,287.5501695896431,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,20.715777309735618,0.0,0.12216008295390939,0.06108004147695469
FR,bus1001,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.0360531262546791,0.14708235719269178,8656,8636,99.76894639556376,0.1317862859038867,170,287.55016958871613,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,22.55136115948359,0.0,0.991014637454499,0.4955073187272495
FR,bus1002,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.0564906022094681,0.2942950132034854,8656,8636,99.76894639556376,0.1317862859038867,170,287.5583677806882,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,21.51076413790385,0.0,0.991014637454499,0.4955073187272495
FR,bus1003,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.0561904405693384,0.294181742265068,8656,8636,99.76894639556376,0.1317862859038867,170,287.5592533874013,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,22.62353590726853,0.0,0.991014637454499,0.4955073187272495
FR,bus1004,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.0572030813241452,0.3480736850710483,8656,8636,99.76894639556376,0.1317862859038867,170,287.5594060604664,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,22.00087994337082,0.0,0.991014637454499,0.4955073187272495
FR,bus1005,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.0573435900745809,0.3886337156956006,8656,8636,99.76894639556376,0.1317862859038867,170,287.55954455926263,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,22.856976226965585,0.0,0.991014637454499,0.4955073187272495
FR,bus1006,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.0567253007889955,0.4037935930981076,8656,8636,99.76894639556376,0.1317862859038867,170,287.56050502250224,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,22.37376798391342,0.0,0.991014637454499,0.4955073187272495
FR,bus1008,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.0559684534432464,0.377654146814895,8656,8636,99.76894639556376,0.1317862859038867,170,287.56070803032264,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,23.657799386978148,0.0,0.991014637454499,0.4955073187272495
FR,bus1009,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.0538676429490375,0.3000562590224572,8656,8636,99.76894639556376,0.1317862859038867,170,287.56103216855564,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,22.43889348904292,0.0,0.991014637454499,0.4955073187272495
FR,bus1011,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.0535758226741932,-0.0056689624139644075,8656,8636,99.76894639556376,0.1317862859038867,170,287.5611406797254,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,22.61383326848348,0.0,0.991014637454499,0.4955073187272495
FR,bus1012,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.053357944364583,-0.8903064579900697,8656,8636,99.76894639556376,0.1317862859038867,170,287.5612168133612,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,22.52364415725072,0.0,0.991014637454499,0.4955073187272495
FR,bus1013,250,1000,455850.0,37595.19963823172,14.02604100220713,1.4106157483010129,-0.0522812562327346,-2.371001017936467,8656,8637,99.78049907578558,0.1317285225027777,170,287.56138811315645,0,0.4611872146118722,0,93.83561643835615,5.703196347031963,20.75144588947296,0.0,0.9917374781820378,0.4958687390910189
FR,bus1,500,1000,523000.0,48962.08734026931,12.14038319974352,2.338731020465865,-0.0434388441659933,6.183391571225384e-05,8660,7500,86.60508083140877,0.2168485068929332,170,287.53371186181573,0,0.273972602739726,0,95.83333333333334,3.8926940639269407,22.613349362214407,0.05750374652108756,0.16736350378594667,0.11243362515351711
FR,bus1001,500,1000,523000.0,48962.08734026931,12.14038319974352,2.338731020465865,-0.0434384227771738,0.12255570406260037,8660,8636,99.7228637413395,0.1512595923432796,170,287.53383552634114,0,0.273972602739726,0,95.83333333333334,3.8926940639269407,22.59579670826594,0.05750374652108756,0.9881312875593418,0.5228175170402146
FR,bus1002,500,1000,523000.0,48962.08734026931,12.14038319974352,2.338731020465865,-0.0605859535088854,0.24525873059571035,8660,8636,99.7228637413395,0.1512595923432796,170,287.53590456108884,0,0.273972602739726,0,95.83333333333334,3.8926940639269407,22.662815074125927,0.05750374652108756,0.9881312875593418,0.5228175170402146
FR,bus1003,500,1000,523000.0,48962.08734026931,12.14038319974352,2.338731020465865,-0.0598237056789187,0.2451524870369347,8660,8636,99.7228637413395,0.1512595923432796,170,287.53655771706144,0,0.273972602739726,0,95.83333333333334,3.8926940639269407,22.48876843055089,0.05750374652108756,0.9881312875593418,0.5228175170402146
FR,bus1004,500,1000,523000.0,48962.08734026931,12.14038319974352,2.338731020465865,-0.0587309192910361,0.2736984669201438,8660,8636,99.7228637413395,0.1512595923432796,170,287.5363102318557,0,0.273972602739726,0,95.83333333333334,3.8926940639269407,22.457319589455924,0.05750374652108756,0.9881312875593418,0.5228175170402146
FR,bus1005,500,1000,523000.0,48962.08734026931,12.14038319974352,2.338731020465865,-0.0569403313992158,0.28633143754004475,8660,8636,99.7228637413395,0.1512595923432796,170,287.53674625371457,0,0.273972602739726,0,95.83333333333334,3.8926940639269407,22.45127947727839,0.05750374652108756,0.9881312875593418,0.5228175170402146
